# updated 2026-04-29 14:35:06.790951
icao,type,value
07FA,awos_phone,305-367-3013
09CA,awos_phone,831-386-7456
18AZ,awos_phone,480-488-7882
18CN,awos_phone,415-514-4209
42PN,awos_phone,412-442-2213
79PN,awos_phone,570-271-8192
9TE2,awos_phone,325-276-2771
CN01,awos_phone,707-961-4603
CO90,asos_phone,719-637-9696
K00U,awos_phone,406-665-4241
K01G,awos_phone,585-237-0235
K01M,awos_phone,662-454-9557
K04V,awos_phone,719-655-2229
K04W,awos_phone,320-384-6169
K05K,awos_phone,336-837-4290
K05U,awos_phone,775-237-6133
K06D,awos_phone,701-477-0055
K06U,awos_phone,775-755-2297
K08D,awos_phone,701-628-1737
K0A0,awos_phone,575-267-8806
K0A9,awos_phone,423-543-1801
K0B1,awos_phone,207-512-2516
K0D8,awos_phone,605-765-0132
K0E0,awos_phone,505-832-9379
K0F2,awos_phone,940-872-2366
K0G7,awos_phone,315-568-5362
K0J4,asos_phone,334-858-4843
K0R0,awos_phone,601-736-4983
K0R4,awos_phone,318-336-8028
K0S9,awos_phone,360-379-1199
K0V4,awos_phone,434-283-7826
K0V7,awos_phone,928-697-3638
K0VG,awos_phone,276-346-3333
K0W3,awos_phone,667-340-6003
K10G,awos_phone,330-674-6279
K10U,awos_phone,208-696-6007
K11R,awos_phone,979-836-2303
K12J,awos_phone,251-809-2987
K12N,asos_phone,609-325-2295
K13K,awos_phone,620-583-2760
K14Y,awos_phone,320-732-3508
K15J,awos_phone,229-896-4223
K15M,awos_phone,662-424-8004
K16A,awos_phone,907-868-7319
K16G,awos_phone,419-443-1043
K16J,awos_phone,229-222-5289
K17G,awos_phone,419-562-0279
K17J,awos_phone,229-524-0001
K18A,awos_phone,706-245-1097
K18H,awos_phone,832-636-9295
K19S,awos_phone,620-290-3873
K1A5,awos_phone,828-349-3156
K1A6,awos_phone,606-248-3095
K1A9,awos_phone,334-358-0919
K1B1,awos_phone,518-828-2577
K1B9,awos_phone,774-372-2047
K1D1,awos_phone,605-438-2088
K1D8,awos_phone,605-475-1877
K1F0,awos_phone,580-226-1536
K1G0,awos_phone,419-354-1415
K1G3,awos_phone,330-346-1497
K1G4,awos_phone,928-237-1354
