airport,lat,lon
ADK,651.88358278,-176.64248222
AKK,256.93869083,-154.18255556
Z13,860.91380972,-161.49332917
AKI,860.90289722,-161.23058333
7AK,654.14461111,-165.60410833
AUK,562.68305556,-164.72219444
Z25,59.26314583,-158.55775528
5A8,159.28255556,-158.61786667
6A8,66.55183333,-152.62216667
AFM,767.10620056,-157.85715583
80A,65.10398194,-151.17723333
AKP,968.13361111,-151.74333333
CSR,761.15870000,-149.78061111
A13,61.34133889,-148.99888056
ANC,561.17408472,-149.99813750
MRI,161.21354639,-149.84470944
2AN,64.25450556,-149.19207778
EDF,761.25135319,-149.80652567
FRN,161.26590000,-149.65330778
LHD,161.18663919,-149.96539364
ANI,561.58140528,-159.54529806
ANN,155.04229358,-131.57089936
ANV,662.64733333,-160.19005556
ARC,368.11466944,-145.57941528
AKA,652.22058333,-174.20619444
4A2,860.86787472,-162.27427500
ATK,970.46711111,-157.43566667
ATU,52.83254167,173.17555417
BRW,171.28486111,-156.76858333
BTI,970.11311111,-143.65361111
Z47,664.67909028,-165.29920139
Z48,63.57160917,-156.14405056
Z52,756.03668556,-160.26620528
WBQ,66.36222222,-147.40650000
BLG,61.17296189,-151.04541631
BET,860.77855556,-161.83716667
BTT,66.91394444,-151.52905556
BGQ,961.53468306,-149.81254833
Z91,66.27447222,-145.81819444
BCV,661.41608750,-149.50830978
5BK,763.53514639,-145.86088611
BYA,864.07830278,-141.11337500
KTS,65.33133333,-166.46572222
BVK,765.98155556,-161.14913889
TTW,363.39120472,-148.95561639
LUR,68.87512778,-166.11108194
EHM,558.64815000,-162.06380278
CZF,61.78101436,-166.03957542
CEM,65.57394444,-144.78088889
CIK,66.64502778,-143.73988889
5CD,768.06543944,-149.57973917
WCR,767.50451667,-148.48322222
CFK,560.13680556,-164.27905556
C05,760.07856111,-147.99473472
VAK,861.54083333,-165.60088889
CKX,864.06675139,-141.95134722
KCL,556.31096667,-158.53448611
AJC,556.31146264,-158.37323819
A79,556.25545694,-158.77783194
CZN,262.07175000,-142.04935000
CZO,262.56233333,-144.67244444
CXC,261.58320278,-144.42980278
9A3,561.57905556,-159.21563889
CRC,65.82791667,-144.07619722
CHP,65.48590694,-144.61168472
CLP,158.83369444,-158.52938889
Z84,64.30038889,-149.11652778
CDB,55.20591667,-162.72625000
CXF,767.25217083,-150.20390806
KCR,63.56772306,-155.98904361
JLA,760.48426389,-149.72290000
Z93,261.94119000,-145.29408083
CDV,260.49163972,-145.47755778
CKU,260.54364444,-145.72585417
K29,64.89674722,-163.70349861
CJX,561.87111806,-158.13795639
DCK,766.94256142,-156.89136864
SCC,70.19475411,-148.46516486
DEE,766.06911111,-162.76705556
BIG,163.99516269,-145.72005536
D66,664.05011667,-145.72246528
DLG,159.04466667,-158.50550000
EAA,864.77808333,-141.14961111
EEK,860.21369444,-162.04388889
EII,58.18549028,-157.37542778
KKU,258.81119250,-158.55884250
KEK,159.35683889,-157.47113944
ELI,564.61497222,-162.27052778
ENM,562.78613889,-164.49075000
2Z2,65.17591139,-150.22053861
2Z3,64.04211111,-148.86313889
MTF,364.80679000,-147.76242111
FBK,264.83761222,-147.61449194
AK7,64.19805556,-147.92861111
EIL,164.66563972,-147.10143028
FAI,64.81535556,-147.85666667
KFP,54.84786111,-163.40711111
TNW,662.53212222,-153.61278889
3Z1,64.83172722,-166.13152222
FLT,162.45278056,-157.98674722
FYU,66.57241667,-145.24633333
