airport,runway,lat,lon,reciprocal,reciprocal_lat,reciprocal_lon
ADK,05,51.87833889,-176.65749722,23,51.87914722,-176.65518333
ADK,23,51.87914722,-176.65518333,05,51.87833889,-176.65749722
AKK,04,56.93657667,-154.18991333,22,56.94055056,-154.17608417
AKK,22,56.94055056,-154.17608417,04,56.93657667,-154.18991333
Z13,02,60.90976944,-161.49745833,20,60.91785000,-161.48920000
Z13,20,60.91785000,-161.48920000,02,60.90976944,-161.49745833
AKI,03,60.89991194,-161.23715139,21,60.90588139,-161.22401639
AKI,21,60.90588139,-161.22401639,03,60.89991194,-161.23715139
7AK,09,54.14554444,-165.61448056,27,54.14367778,-165.59373333
7AK,27,54.14367778,-165.59373333,09,54.14554444,-165.61448056
AUK,16,62.68851861,-164.72213256,34,62.67757986,-164.72227311
AUK,34,62.67757986,-164.72227311,16,62.68851861,-164.72213256
5A8,15,59.28523056,-158.61933056,33,59.27988056,-158.61640556
5A8,33,59.27988056,-158.61640556,15,59.28523056,-158.61933056
6A8,05,66.55030281,-152.63534406,23,66.55336186,-152.60899239
6A8,23,66.55336186,-152.60899239,05,66.55030281,-152.63534406
AFM,01,67.09996072,-157.86068475,19,67.11005411,-157.84990244
AFM,19,67.11005411,-157.84990244,01,67.09996072,-157.86068475
AFM,10,67.10944822,-157.86803503,28,67.10692922,-157.85248181
AFM,28,67.10692922,-157.85248181,10,67.10944822,-157.86803503
80A,02,65.10255833,-151.18073056,20,65.10540556,-151.17373611
80A,20,65.10540556,-151.17373611,02,65.10255833,-151.18073056
AKP,02,68.12845669,-151.75425183,20,68.13874128,-151.73242278
AKP,20,68.13874128,-151.73242278,02,68.12845669,-151.75425183
ANC,15,61.19973056,-150.01453056,33,61.17104167,-149.99846944
ANC,33,61.17104167,-149.99846944,15,61.19973056,-150.01453056
MRI,05,61.20967003,-149.84514375,23,61.21188967,-149.83477678
MRI,23,61.21188967,-149.83477678,05,61.20967003,-149.84514375
MRI,07,61.21590431,-149.85327178,25,61.21589947,-149.83058572
MRI,25,61.21589947,-149.83058572,07,61.21590431,-149.85327178
MRI,16,61.21568297,-149.85251294,34,61.20846164,-149.85252672
MRI,34,61.20846164,-149.85252672,16,61.21568297,-149.85251294
2AN,02,64.25290833,-149.19512778,20,64.25610556,-149.18900000
2AN,20,64.25610556,-149.18900000,02,64.25290833,-149.19512778
EDF,06,61.24863333,-149.84426111,24,61.25337778,-149.78833889
EDF,24,61.25337778,-149.78833889,06,61.24863333,-149.84426111
EDF,16,61.26206389,-149.79347778,34,61.24156667,-149.79349167
EDF,34,61.24156667,-149.79349167,16,61.26206389,-149.79347778
FRN,18,61.27138056,-149.65102056,36,61.26041806,-149.65559472
FRN,36,61.26041806,-149.65559472,18,61.27138056,-149.65102056
LHD,14,61.18932822,-149.96819086,32,61.18395017,-149.96259642
LHD,32,61.18395017,-149.96259642,14,61.18932822,-149.96819086
ANI,11,61.58579519,-159.56051847,29,61.58522886,-159.55855431
ANI,29,61.58522886,-159.55855431,11,61.58579519,-159.56051847
ANN,02,55.03734111,-131.57216278,20,55.04818689,-131.55255144
ANN,20,55.04818689,-131.55255144,02,55.03734111,-131.57216278
ANN,12,55.05091053,-131.58606558,30,55.03295983,-131.56874997
ANN,30,55.03295983,-131.56874997,12,55.05091053,-131.58606558
ANV,17,62.65276350,-160.18874436,35,62.64189247,-160.19138381
ANV,35,62.64189247,-160.19138381,17,62.65276350,-160.18874436
ARC,02,68.11028889,-145.59098333,20,68.11905000,-145.56784722
ARC,20,68.11905000,-145.56784722,02,68.11028889,-145.59098333
AKA,16,52.22653503,-174.20877606,34,52.21462011,-174.20363447
AKA,34,52.21462011,-174.20363447,16,52.22653503,-174.20877606
4A2,15,60.87186111,-162.27626881,33,60.86388853,-162.27228164
4A2,33,60.86388853,-162.27228164,15,60.87186111,-162.27626881
ATK,07,70.46618064,-157.45328456,25,70.46804314,-157.41804117
ATK,25,70.46804314,-157.41804117,07,70.46618064,-157.45328456
ATU,02,52.82485556,173.17076944,20,52.84022778,173.18033889
ATU,20,52.84022778,173.18033889,02,52.82485556,173.17076944
